LA,B1,B2,B3,B4,B5,B6,B7,B8,U1,U2,U3,U4,U5,U6,U7,U8,F1,F2,F3,F4,F5,krim,type
Sams√∏,14245,39,140,94,35,199,29687,44440,5353,316,14,32,64,2,12,5790,312,74,83,5,463,1.072673639,LowCrime
Skanderb,2272,70,169,90,24,9,1244,3879,4280,220,135,106,384,64,11,5201,225,60,73,14,343,1.491901108,LowCrime
Aller√∏d,3473,112,205,180,30,22,5206,9227,7872,348,164,110,600,58,30,9182,325,82,215,25,597,1.505785386,LowCrime
Lejre,2769,56,247,66,15,9,4482,7644,2659,151,52,38,89,14,5,3008,240,29,80,9,340,1.63345312,LowCrime
L√¶s√∏,17713,14,284,96,32,109,34573,52821,1459,32,0,3,0,1,2,1496,184,16,130,3,327,1.676914477,LowCrime
Kertemin,3783,52,214,58,15,9,4600,8732,3405,272,54,69,234,37,6,4077,213,34,75,10,311,1.764928352,LowCrime
Odder,2277,77,116,119,30,13,5164,7796,5708,516,159,201,761,82,20,7447,200,54,95,21,329,1.770303164,LowCrime
Solr√∏d,2217,68,96,61,16,12,5189,7659,4551,125,126,52,188,29,15,5085,303,43,156,14,488,1.832484133,LowCrime
Egedal,2228,93,231,185,30,12,3210,5988,4251,196,168,77,522,73,16,5303,252,62,68,16,367,1.836952983,LowCrime
H√∏rshol,3647,60,497,131,33,61,6256,10685,6678,267,86,165,418,66,29,7709,290,69,197,33,524,1.871540636,LowCrime
Rebild,2047,66,151,136,29,13,3217,5659,3471,291,81,42,358,99,27,4368,196,0,159,10,345,1.948597346,LowCrime
Syddjurs,1850,40,121,68,18,10,2738,4844,3749,174,57,62,199,31,11,4284,241,66,290,14,583,1.957916588,LowCrime
Helsing√,4002,97,643,193,39,27,3828,8830,5380,269,131,283,674,79,22,6836,593,85,152,46,783,4.020677771,HighCrim
T√∏nder,2307,52,166,68,35,42,3406,6078,3098,155,61,64,226,88,57,3749,247,53,134,17,417,4.055451003,HighCrim
Herlev,3309,53,801,122,34,32,12373,16723,4421,179,101,266,275,74,27,5344,407,89,211,19,688,4.098647797,HighCrim
Randers,1912,54,136,69,21,15,2305,4511,4082,354,111,119,453,86,29,5234,303,62,85,36,414,4.104496614,HighCrim
Struer,3836,69,285,70,36,75,5617,9986,4604,228,104,99,178,65,20,5298,247,0,186,12,421,4.143516339,HighCrim
R√∏dovre,3117,101,509,111,39,32,3559,7469,4503,213,111,144,361,89,48,5468,354,82,102,17,520,4.168051755,HighCrim
Esbjerg,2518,39,151,58,21,44,2117,4948,3424,177,57,104,192,46,80,4080,261,50,142,29,424,4.282821319,HighCrim
Vordingb,2662,58,258,84,29,13,5251,8354,3713,244,111,107,336,45,8,4563,269,60,127,20,436,4.341502594,HighCrim
Slagelse,1724,54,121,56,12,12,2859,4838,3016,131,89,95,253,34,15,3634,218,0,181,11,388,4.558520001,HighCrim
K√∏benha,1416,23,77,27,9,7,411,1968,3659,102,52,103,163,27,16,4122,211,34,138,32,351,4.615721566,HighCrim
Hvidovre,2430,67,534,102,24,28,2558,5743,5504,220,142,243,581,101,54,6845,445,68,100,16,597,4.619371315,HighCrim
Hadersle,2043,44,128,88,29,12,2592,4935,5537,267,138,99,442,116,24,6623,216,53,64,16,317,4.66562986,HighCrim
Odense,2591,47,721,71,30,24,1254,4739,3766,184,72,340,215,48,24,4649,273,49,118,70,369,4.697156984,HighCrim
Glostrup,3812,99,299,115,36,19,10569,14949,4409,211,91,185,232,60,20,5208,383,59,118,18,542,5.082199045,HighCrim
Guldborg,3193,74,522,114,34,29,4154,8119,3923,426,149,278,456,64,45,5341,309,70,151,7,523,5.128288883,HighCrim
Frederic,2211,72,293,67,18,14,6724,9399,3139,171,120,123,245,60,15,3872,262,55,87,26,378,5.434145197,HighCrim
H√∏jeTaa,1796,45,196,68,16,20,3163,5304,3588,199,98,99,205,41,31,4262,330,70,261,8,654,5.503424793,HighCrim
Albertsl,3381,101,524,121,42,65,5094,9328,4536,189,119,447,359,103,55,5809,615,51,194,51,809,6.038603932,HighCrim
Lolland,2823,74,179,101,49,13,5342,8581,3211,189,112,91,340,114,14,4072,229,56,147,24,408,7.271171942,HighCrim
Ish√∏j,2092,79,226,208,55,21,5216,7897,3254,167,100,48,333,118,25,4045,384,82,108,27,547,7.512885472,HighCrim
Br√∏ndby,2217,69,159,155,33,11,4136,6780,3130,198,89,53,326,45,12,3853,300,71,59,4,426,7.681917947,HighCrim
